"id","target","f0","f1","f2","f3","f5","f6","f7","f9","f10","f11","f13","f14","f15","f16","f18","f19","f20","f22","f23","f24"
63,0,1022.6,23,5.0235,16.3,10,17,2,0,3.2,33.1,0,2,4,32.2,3,1016,0,10.8,55,92
64,0,1017.2,13,5.028,28.2,13.8,33,15,0,9.9,35.8,0,1,22,34.7,8,1013.6,0,13.7,37,17
65,0,1006.7,34,5.0223,17.9,11.2,61,26,0,6.6,30.1,1,5,35,27.1,12,1004.6,6,11.7,37,59
66,0,1006.3,8,5.0308,22.1,4.9,41,13,0,6.4,27.4,0,8,11,25.4,4,1004,4,17.2,44,52
67,0,1019.8,4,5.0198,14.2,12,39,22,0,5.6,20.3,0,0,20,19.9,11,1015.6,1,5.2,41,49
68,0,1016.4,27,5.0156,13.4,9.9,41,24,1,3.2,18.6,6.6,5,22,17.5,7,1016.5,3,10.9,57,58
69,0,1017.7,20,5.0179,26.5,9.8,59,26,0,10.8,37.7,0,7,13,36.9,4,1013.1,7,19.9,37,39
70,0,1014.4,7,5.0268,21.6,5.9,46,24,0,8,23.3,0,7,24,22.3,8,1012.7,4,19.3,49,46
71,0,1008.2,19,5.0025,13.8,11.9,54,28,0,6.4,17.2,0,4,33,15.7,0,1012.4,1,8.6,39,72
72,1,1017.3,35,5.0209,11.1,0,52,19,1,3.8,12.7,4.8,8,28,11.7,7,1015.3,4,9.5,64,75
73,0,1010.9,12,5.0237,23.3,8.2,46,17,1,2.2,28.3,7.2,7,31,25.6,10,1006.4,7,20.1,66,81
74,0,1022.8,36,5.0193,7.8,6.3,30,6,0,1,21.3,0.2,7,20,20.1,2,1019.5,7,3.2,39,88
75,0,1018.9,21,5.0203,16,10.3,28,0,0,6.6,23.6,0,0,11,23.1,2,1015.3,0,6.4,38,58
76,0,1021.9,6,5.0108,9.3,0.1,33,7,0,1.4,12.6,0,7,13,12.3,12,1017.8,7,5.9,61,82
77,0,1009.7,10,5.0209,20.2,4.6,31,4,0,3.4,27.3,0,7,19,24.7,11,1008.5,6,15.7,57,73
78,0,1014.1,4,5.0137,28.8,12.1,37,13,0,7.8,35.4,0,7,15,33.6,6,1011.2,6,21,41,46
79,0,1029.1,23,5.0177,18,10.2,17,0,0,1.8,27.8,0,1,7,26.5,11,1025.1,1,14.4,58,87
80,1,1014.9,29,5.0245,16.5,2.1,33,13,1,1.6,18.5,15,8,20,17.9,1,1015.9,8,15.6,61,93
81,0,1015.5,21,5.0261,24.7,3.3,24,11,0,4.8,29.3,0,7,11,28.3,5,1013.1,8,21.8,64,81
82,0,1018.7,10,5.0137,19.7,9.6,31,7,0,6,29,0,5,11,27.9,7,1013.5,6,14.9,47,69
83,0,1022.3,26,5.0252,15.3,7,26,2,0,4,18,0,5,13,17.2,10,1019.7,8,14.3,59,63
84,0,984.6,17,5.0109,16.2,9.5,91,35,1,4.2,18.6,9.2,7,26,16.6,9,991.6,6,12.2,45,49
85,0,1013,12,5.02,26.2,9.3,54,19,0,7.2,31.8,0,1,43,28,10,1009.4,1,20.5,63,65
86,1,1024.6,34,5.0279,10.4,5.9,43,15,1,1.6,15.2,4.2,7,22,12.9,8,1023.4,4,7.1,56,95
87,1,1008.5,25,5.0317,11.5,6.7,33,15,0,2.6,18.5,0,5,13,16.9,4,1008.2,5,7.3,47,58
88,0,1019.8,29,5.028,19.4,5.9,24,2,0,3,23.1,0.2,8,15,21.2,11,1018.8,8,17.5,56,78
89,0,1019.2,3,5.018,12.7,7.9,20,7,0,2.2,19.9,0,6,6,19.3,13,1017.6,1,8.9,52,77
90,1,1013.5,14,5.0207,9.4,5.7,39,17,0,1.2,14.1,0,8,22,12.5,13,1012.6,3,8.3,66,72
91,0,1015.4,5,5.0058,22.1,8.9,50,31,0,7.2,29.1,0,3,24,28.4,6,1012.2,7,21,44,35
92,0,1027.7,31,5.0169,11.7,9.2,30,17,0,12.2,20,0,8,20,18,2,1024.7,2,4,51,62
93,0,1006,27,5.019,15.5,10.5,76,35,1,5.2,20.7,10.2,5,50,19.3,4,1008.5,1,12,49,50
94,0,1025.7,31,5.0187,12.6,0.8,15,7,0,4.4,18.8,1,7,7,18.1,3,1023,7,9.2,66,96
95,0,1026.6,37,5.0245,6.8,0.2,19,13,0,2.2,13.5,0,7,13,13.2,9,1024,8,4.2,63,86
96,0,1013.2,25,5.0107,13.6,9.8,46,15,0,2.8,20.6,0.2,3,28,20.1,13,1009.6,1,9.2,43,59
97,0,1001.1,29,5.0259,22,9,89,19,0,8.4,29.1,0,8,31,23.4,12,1005.7,3,15.7,55,60
98,1,1004.1,7,5.0311,17.5,2.6,61,31,1,2.6,18.1,1.8,7,39,17.9,3,1004,7,16.4,59,90
99,0,1009.3,0,5.0224,27.8,8,28,13,0,5.4,32.7,0.4,7,19,28.5,11,1006.6,7,25.4,66,81
100,1,1003.9,7,5.0115,22.1,3.6,61,30,1,2.6,25.3,73.8,1,26,24.8,8,1001.3,8,21,64,97
101,1,1005.2,16,5.0041,14.4,7.3,59,13,1,1.6,19.1,10.6,8,39,16,6,1003.1,8,12.2,55,81
102,0,1014.3,24,5.0287,28,12.1,35,19,0,15,36.7,0,1,15,35.6,6,1012.4,1,27.5,47,35
103,0,1020.2,10,5.0018,18.4,12.4,28,0,0,5,31,0,1,15,30.7,0,1013.7,7,15.3,43,100
104,0,1030.3,19,5.0309,6.5,1.1,19,0,0,1.4,11.2,0.4,7,7,11.1,4,1027.8,8,3.3,60,99
105,0,1018.2,4,5.0257,22.3,11.7,41,31,0,9.4,31.2,0,2,17,30.2,1,1012.9,0,15.9,38,48
106,0,1028.9,38,5.0166,8.2,3.8,26,13,0,2.2,18.6,0,7,11,17.2,3,1025.6,2,6.4,51,99
107,0,1012.3,3,5.027,21.7,10.9,44,17,0,11.8,29.6,0,1,24,27.9,9,1010.7,5,20.7,47,58
108,0,1014.4,39,5.0138,27.6,9.6,33,17,0,5,35.1,0,0,19,33.9,6,1010.4,2,22.6,45,74
109,0,1031.6,12,5.02,13.4,10.1,26,4,0,4.2,18.7,0.6,0,13,18.2,13,1027.6,1,10.9,64,90
110,1,1023.3,11,5.0129,18.1,3.9,72,37,1,2.6,20.6,17.8,8,52,20,11,1022.7,8,16.3,63,100
111,0,1024.1,23,5.0164,23.5,11.1,39,0,0,8.4,28.8,0.2,5,19,24,11,1023.1,6,21.2,38,37
112,1,1010.7,37,5.013,19.6,0.3,54,15,1,6.4,23.1,10.8,8,22,20.5,8,1010.4,7,18.4,62,93
113,0,1011,1,5.0215,15.3,3.3,44,15,1,4.9,23,5.4,6,24,22.3,2,1011.5,8,14.5,45,87
114,0,1025.6,24,5.0228,8.3,2.5,30,11,0,4,12,0,7,13,11.2,8,1022.6,7,6.2,55,84
115,0,1013.2,32,5.0129,27.1,9,57,20,0,9.4,36.5,0,8,28,34.3,6,1009.5,4,20.3,39,9
116,0,1026.6,33,5.011,12.2,12.4,19,4,0,1.8,22.7,0,4,6,22,7,1023.7,1,5.1,38,78
117,1,1011.8,40,5.0136,23.1,11.5,31,9,0,11.6,30.5,0.6,0,22,28.3,0,1010,5,16.6,45,66
118,0,1021.5,35,5.0247,12.1,8.5,59,26,1,1.6,16.7,2.6,4,37,15.8,0,1017.3,6,9.2,64,81
119,0,1021,7,5.0291,19.4,9.1,44,20,0,6.6,20.9,0.2,5,13,18.6,8,1020.5,5,16.1,66,56
120,0,1016.8,27,5.019,16,6.9,35,9,0,5,20.4,0,4,24,19.3,11,1015.3,8,12.7,58,62
121,0,1017.9,1,5.007,8.4,13.4,39,13,0,1.1,14.3,0,1,22,13.2,3,1018,1,1.7,61,88
122,0,1018.9,33,5.0063,21.5,10.9,35,7,0,8.8,32,0,1,9,30.2,3,1017.2,3,14.5,39,59
123,1,1028.6,10,5.0206,13.5,8.5,41,22,0,1.2,17.8,0,4,15,14.3,3,1028.3,7,8,66,70
124,0,1017.5,37,5.0267,20,13.5,33,17,0,7,27.3,0,3,24,25.8,7,1012.9,1,9.6,39,55
125,0,1015.7,23,5.0067,14.5,9.2,28,0,0,6,19,0,1,6,17.7,6,1013.1,3,7.2,42,55
126,0,1015,22,5.0198,25.1,1.9,48,28,0,10.6,27.4,0,7,33,24.7,3,1013.9,7,23.6,65,74
127,0,1019,4,5.0088,10.8,10.5,30,9,0,6.4,18.3,0,0,17,16.9,4,1016.4,0,4.8,37,42
128,0,1014.4,11,5.0285,23,6.2,39,28,1,6,27.5,24.2,7,31,25.6,1,1012.2,6,19.8,65,75
129,0,1021.1,7,5.0113,18.2,12.2,33,19,0,5.8,20.6,0,1,15,19.2,5,1020,2,15,62,65
130,1,1000,6,5.0153,8,6.2,78,13,1,4.2,11.8,12.6,7,9,7.9,6,1002.8,4,6.9,65,76
131,0,1016.6,14,5.0188,10.5,7.7,33,13,1,4.4,15.1,1.4,5,13,12.5,7,1017,1,7.5,64,63
132,0,1009.6,41,5.0265,29,6.8,41,15,0,9.4,31.2,0,7,28,29,6,1006.7,1,24.6,66,60
133,0,1017.3,11,5.0172,21,13.2,31,20,0,4,23,0.4,1,24,21.5,12,1016.7,1,13.3,46,41
134,0,1032.9,37,5.0132,2.9,0.2,30,0,0,1.2,10.7,0,8,17,9.6,6,1030.4,7,-1,62,93
135,1,1019,2,5.0021,16.5,0.3,35,15,1,4.2,18.5,24.4,8,13,16.7,8,1020.4,7,14.6,66,87
136,0,1014.8,29,5.0254,21.9,8.3,28,6,0,3.2,25.1,0,5,15,23.5,7,1010.4,5,17.3,56,75
137,0,1019.4,23,5.0166,19,11.5,24,0,0,4.4,25.1,0,1,15,20.2,3,1016.5,2,10.9,65,68
138,0,1017.8,40,5.0161,20.1,11.7,28,2,0,3.9,29.9,0,1,9,29,6,1015.3,7,15.2,45,91
139,0,1016.5,8,5.0087,11.7,11.3,30,9,0,2.6,17,0,0,17,16.1,6,1013.4,0,5.9,46,52
140,0,1015.8,19,5.0216,9.6,5.5,67,30,0,3.8,18,0.6,8,35,17.1,11,1010.5,8,9.4,62,94
141,0,1016.6,42,5.0165,4.7,3.5,57,22,1,1.4,10.7,6.6,7,13,8.4,7,1014.9,3,3.1,51,80
142,0,1023.6,42,5.0144,5.7,8.8,24,6,0,4.8,13.2,0.6,6,11,12.3,9,1021,1,-3,46,68
143,0,1024.1,23,5.0295,23.8,7.9,24,9,0,8,30.8,0,3,15,30.5,2,1020,7,20.8,53,79
144,0,1017.7,4,5.0153,25.6,11.4,31,11,0,8.4,31.6,0,1,11,30.9,10,1013.7,0,17.3,43,44
145,0,1013.7,13,5.0218,18.6,10.8,81,48,0,8,19.9,0,4,44,15.8,12,1015.1,0,6.1,53,37
146,0,1008.9,43,5.0232,28,10.2,41,9,0,19.6,39.5,0.2,0,20,38.3,9,1005.6,0,23.6,47,27
147,0,1023.8,38,5.0264,13.7,11.1,37,17,0,4.1,30.7,0,2,13,26.8,9,1021.2,0,8.4,50,68
148,0,1008.6,42,5.0195,19.6,11.2,63,9,0,4.6,29.7,0,3,26,26.4,10,1005.2,1,11.2,38,70
149,1,1018.2,12,5.0271,21,5.2,57,30,1,6.2,25,6.2,6,35,22.4,8,1016.2,3,17.3,55,71
150,1,1014.2,7,5.0168,24.8,0.1,56,20,0,4.8,25.4,0.6,8,22,24.1,8,1012.5,7,23.7,62,90
151,0,1021.6,34,5.0144,17.4,13.8,52,26,0,6.8,24.8,0,1,31,22.9,4,1018.7,2,9.9,46,66
152,0,1023.5,34,5.0167,10.8,6.5,33,15,1,2.4,14.2,2.4,6,17,13.4,12,1021.2,1,3.3,47,71
153,0,1018.2,16,5.0257,15.2,9.2,35,7,0,3.8,27.1,0,6,15,26.2,13,1013.1,6,5.9,43,61
154,0,1022.9,3,5.0186,12.4,4.5,28,9,0,1.8,19.8,0,7,9,18.4,13,1020.7,8,10.9,59,94
155,0,1020.4,36,5.0243,14.1,9.9,35,6,0,4.4,26,0,4,17,25.8,6,1017.2,4,10.5,50,87
156,0,1013.3,42,5.0161,6.5,5.2,46,19,0,0.4,12,0.8,3,26,9.3,7,1012.8,2,3.8,52,86
157,0,1015.3,43,5.0097,12,1,28,13,1,2.6,15.4,19.4,7,4,14.8,0,1014.7,8,11,60,95
158,0,1020,29,5.0142,23,5.7,28,2,0,6,26,0,7,13,23,6,1018.6,5,18.5,64,78
159,0,1006.8,18,5.0284,20.5,6.6,46,24,0,2.6,25.3,0,7,30,20.5,7,1008.8,6,17.4,54,68
160,0,1023.8,17,5.0058,10.3,7.5,35,17,1,3.2,15.1,1.4,2,24,12.5,2,1022.6,7,5.5,65,59
161,0,1021.4,32,5.0251,19.8,10.9,30,7,0,4,32.6,0,1,19,31.9,9,1017.8,1,14.2,37,52
162,0,1010.1,44,5.0062,9.4,7.9,22,2,0,1.6,16.5,0.6,5,13,16,11,1008.6,8,6.9,61,97
163,0,1016.7,26,5.0175,11.6,1.3,28,11,1,1.8,16,3,6,4,15.9,6,1013.5,7,9.1,54,78
164,0,1014.4,5,5.0298,27,10.8,33,6,0,6.6,32.4,0,2,24,30.9,13,1010,3,22.1,55,72
165,0,1019.7,0,5.0302,20.6,6.7,37,22,1,6.8,27.5,7.8,1,26,26.3,13,1014.5,7,18.7,52,85
166,0,1016.8,18,5.0224,16.4,3.7,35,20,1,4,25.8,4,7,15,24.9,2,1013,5,16.1,64,90
167,1,1012,17,5.0293,8.6,0.8,44,13,1,1.6,9,2.4,7,20,8.4,12,1017.8,8,7.9,62,74
168,0,1025.3,42,5.0229,9.6,9,52,28,0,4,14.8,0,5,30,13.2,12,1022.1,1,-3.4,40,58
169,0,1023.4,24,5.0108,16,11.6,33,11,0,7.6,23.2,0,1,17,21.5,12,1022.4,0,12.8,43,64
170,0,1019.5,17,5.0301,16.7,11.5,35,9,0,5,23.1,0,1,22,22.1,0,1016.2,6,14,53,76
171,0,1020.4,2,5.0102,17.7,9.6,31,9,0,2.2,23.4,0,1,17,20.4,12,1018.7,2,8.2,57,54
172,0,1027.5,44,5.0298,12.1,11.8,33,7,0,5.6,19.9,0,0,11,19.6,1,1025.8,1,9.2,38,59
173,1,1013.1,26,5.0099,12.1,7.3,87,48,1,3.6,13.2,12,7,31,11.5,8,1015.5,6,9.4,57,55
174,0,1021.1,9,5.0142,9.1,2.3,28,4,1,6.8,17.5,5.8,8,15,16.4,1,1017.7,4,6.4,46,94
175,1,1013.2,10,5.0177,13.9,0.5,26,6,1,4,18.3,4.4,7,9,15.7,6,1013.8,8,13.4,65,100
176,0,1027,14,5.0224,15.1,2.7,28,6,0,2.4,20.3,0,8,6,18.7,7,1025.6,7,14.6,55,78
177,0,1019.6,43,5.0204,8.5,6.6,37,9,0,1.8,15.5,0,8,24,14.2,7,1017.3,7,4.9,51,84
178,0,1030.7,18,5.0218,21.4,11,35,20,0,7,30.9,0,4,7,30,12,1025.3,1,11.9,38,47
179,0,1019.6,22,5.0059,13.3,11.3,39,20,1,3,17.2,2,1,20,16.2,10,1017.1,1,7.1,43,43
180,1,1019.6,11,5.0183,27.5,9.7,54,20,0,3.8,30.2,0,1,41,28.4,8,1019,1,20.8,60,62
181,0,1001.4,18,5.0129,9.2,2.2,41,13,1,0.6,13.5,2,8,11,10.2,3,1002.8,7,6.9,64,86
182,0,1021.4,24,5.0194,12.1,1,15,6,1,0.4,14.5,4,8,7,14.2,11,1020.1,8,10.8,62,95
183,0,1011.6,25,5.0138,17.2,6.3,39,15,0,0.4,22.9,0.2,6,26,21.3,6,1008,5,12.9,62,74
184,0,1009.9,27,5.0192,20.4,7.6,48,30,0,9.4,24.7,0,7,13,22.1,6,1010.4,4,18.8,56,63
185,0,1012,28,5.0229,2.5,4.8,65,17,0,1,5.6,0,4,19,2.9,3,1016.5,7,-1.5,64,90
186,1,1014.1,45,5.0131,21,2.8,61,20,1,3.4,24.2,1.4,7,22,23.4,9,1013,5,18.5,65,100
187,0,1014.8,0,5.0233,27.8,11.2,50,26,0,11,31.1,0,2,35,29.3,7,1011.1,3,20.5,51,51
188,0,1018.6,46,5.024,26.4,11,46,33,0,40,35.4,0,0,17,34.2,10,1013.7,8,21.9,47,33
189,0,1015.8,22,5.0142,8.8,5.4,41,20,0,4,15.3,0,2,20,15,7,1012,7,7,39,50
190,0,1022.1,36,5.0123,15,5.2,52,19,0,4,20,0,5,33,18.6,8,1022.1,5,14.3,37,59
191,0,1025.4,26,5.0131,14.5,3.3,31,4,0,3.4,17.1,0,5,20,16,7,1024.5,8,12,60,78
192,0,1021.5,8,5.0189,18.8,7.2,30,7,0,3.4,23.2,0,5,17,19.5,13,1019.9,7,14.7,53,56
193,0,1026.1,1,5.0152,8.4,8.5,33,19,0,2.6,14.6,0.2,7,13,13,0,1025.1,0,3.5,59,69
194,0,1015.4,18,5.0142,19.8,9.3,46,17,0,9.4,24.1,0,1,30,22.1,0,1014.2,0,11.6,41,51
195,0,1006.2,25,5.0211,13.1,9.7,54,26,1,1.6,17.5,2.8,1,31,16.7,10,1008.1,1,10.4,45,56
196,0,1012.1,13,5.0168,18.4,13.1,41,13,0,7.6,29.4,0,1,9,27.8,3,1008.9,1,12,37,43
197,0,1003.6,14,5.0158,11.9,4.5,39,13,0,2,15.4,0,7,11,13.2,8,1004.6,3,11.2,49,67
198,0,1013.4,33,5.0079,24.9,10.9,48,11,0,9.6,35.3,0,5,11,33.5,0,1010.7,7,18.5,40,56
199,0,1018.1,45,5.0126,17.7,6.9,44,22,0,4,23.4,0,8,26,21.7,4,1016.8,7,10.7,53,57
200,0,1016.6,43,5.0152,16.6,11.4,31,17,0,5.4,22.8,0,0,17,22.5,13,1012.3,0,5.2,43,35
201,0,1025.9,23,5.0177,11,9.8,20,0,0,1.2,20,0,1,13,19.4,3,1023.3,0,6,47,85
202,0,1024.7,3,5.0275,19.6,11.4,33,11,0,7.4,29.5,0,1,19,28.4,7,1020.9,1,14.7,40,48
203,0,1026.9,29,5.0108,12.4,0,33,20,1,2.4,15.3,9.2,8,19,14.8,11,1024.6,8,11.6,66,92
204,0,1015.9,42,5.019,8,7.2,59,24,1,4,15.9,15.2,4,22,14.1,10,1014.3,8,6.3,40,62
205,0,1015.1,1,5.003,18.8,12.6,33,7,0,11.8,35,0,1,11,31.2,10,1011.6,3,11.3,37,60
206,0,1017.6,13,5.0112,9,7,43,11,1,1.4,14.1,8.8,3,24,13.7,8,1015.3,6,7.8,48,89
207,0,1020.6,43,5.0284,19.4,9.5,31,30,0,6.8,28.1,0,1,15,27.2,4,1015.2,7,13.8,42,55
208,0,1010.4,44,5.0148,19.7,9.3,65,35,0,16,29.3,0,7,43,27.1,9,1010.1,7,18.7,44,70
209,1,1021.6,44,5.0224,19.9,0,43,26,1,0.3,20.4,6.9,8,15,19.2,0,1019.5,8,19.2,47,90
210,1,1008,5,5.0172,28.7,9.4,52,15,1,3.6,32,2.6,7,24,31.3,4,1005,7,23.1,55,74
211,1,1018.7,12,5.0152,17.8,0.5,31,15,1,1.4,23.1,15.2,8,17,21.8,2,1016.5,8,16.6,61,92
212,0,1017.3,23,5.0191,18.5,11.7,43,0,0,6.4,25.6,0,0,13,21.8,10,1014.7,1,14,55,90
213,0,1026.7,20,5.0238,15,9.6,50,33,0,6,23.3,0,2,28,22.8,12,1022.6,1,11.4,37,53
214,0,1016.8,9,5.0289,12.8,9.5,50,11,1,0,16.5,4.6,6,17,16.1,11,1017.6,5,3.7,46,96
215,0,1015.8,3,5.0274,22.1,13,44,19,0,11.4,33.8,0,0,11,32.2,10,1011.2,1,16.9,37,46
216,1,1000.6,36,5.0027,22.4,5.3,80,22,0,10.6,28.6,0,5,39,20.6,5,1002,7,13.6,38,25
217,0,1030.2,35,5.0266,9.3,6,20,4,0,0.6,15.4,0.4,8,11,14.9,4,1029.7,1,5,65,99
